,GERMAN,ENGLISH,PORTUGUESE
0,ich ,I,eu
1,sie ,they,ela
2,das ,the,a
3,ist ,is,é
4,du ,you,tu
5,nicht ,Not,não
6,die ,the,a
7,und ,and,e
8,es ,it,isto
9,der ,the,a
10,was ,What,O que
11,wir ,weather,clima
12,er ,he,ele
13,zu ,to,para
14,ein ,on,uma
15,in ,in,no
16,mit ,with,com
17,mir ,to me,mim
18,den ,the,a
19,wie ,how,Como as
20,ja ,Yes,sim
21,auf ,on,sobre
22,mich ,me,mim
23,so ,so,tão
24,eine ,one,1
25,aber ,but,mas
26,hier ,here,aqui
27,sind ,are,estão
28,von ,from,a partir de
29,haben ,to have,Ter
30,hat ,Has,Tem
31,dich ,you,tu
32,war ,was,era
33,dass ,that,naquela
34,wenn ,if,E se
35,an ,on,no
36,da ,there,lá
37,nein ,no,não
38,bin ,am,sou
39,noch ,still,ainda
40,dir ,to you,para você
41,nur ,only,só
42,habe ,have,tenho
43,ihr ,her,sua
44,sich ,themselves,eles mesmos
45,einen ,a,uma
46,uns ,US,nós
47,hast ,have,tenho
48,dem ,to the,ao
49,ihn ,him,dele
50,aus ,the end,o fim
51,kann ,can,posso
52,gut ,Well,Nós vamos
53,auch ,even,até
54,schon ,nice,bela
55,jetzt ,now,agora
56,im ,in the,no
57,sein ,being,ser
58,mal ,just,vezes
59,dann ,then,então
60,meine ,my,minha
61,als ,as,Como
62,um ,around,por aí
63,mein ,my,minha
64,doch ,indeed,mas
65,bist ,are you,és tu
66,wird ,will,vai
67,keine ,no,não
68,nach ,to,depois de
69,alles ,everything,Tudo
70,man ,you,tu
71,lch ,l,eu
72,oder ,or,ou
73,nichts ,nothing,nada
74,wo ,Where,Onde
75,werden ,will,tornar-se
76,will ,want,quer
77,geht ,goes,vai
78,mehr ,more,mais
79,warum ,why,porque
80,hab ,have,tenho
81,ihnen ,them,eles
82,bitte ,You're welcome,De nada
83,etwas ,some,algum
84,bei ,at,no
85,muss ,got to,ter que
86,los ,Come on,Vamos
87,immer ,always,sempre
88,oh ,Oh,Oh
89,vor ,in front,antes
90,mann ,man,cara
91,zum ,to the,ao
92,wieder ,again,novamente
93,sehr ,very,muito
94,sehen ,see,Vejo
95,sagen ,say,dizer
96,also ,so,tão
97,gehen ,walk,andar
98,wer ,who,quem
99,alle ,Everyone,Todos
100,denn ,because,Porque
101,machen ,make,Faz
102,ihm ,him,dele
103,diese ,these,esses
104,komm ,come over,venha aqui
105,danke ,Thank you,obrigado
106,euch ,you,tu
107,einem ,one,1
108,tun ,to do,pendência
109,einer ,one,1
110,gibt ,gives,dá
111,nie  ,never,nunca
112,des ,of,do
113,soll ,target,alvo
114,kein ,no,não
115,vielleicht ,perhaps,possivelmente
116,weg ,path,caminho
117,deine ,yours,Sua
118,wissen ,to know,saber
119,am ,at the,no
120,werde ,will,vai
121,leben ,Life,Vida
122,kommen ,come,vir
123,kommt ,comes,vem
124,viel ,much,Muito de
125,wirklich ,really,realmente
126,frau ,woman,Sra
127,hatte ,would have,teria
128,heute ,today,hoje
129,ok ,OK,OK
130,willst ,want,quer
131,dein ,your,sua
132,tut ,does,faz
133,ihre ,their,seus
134,ganz ,quite,bastante
135,zeit ,Time,Tempo
136,bis ,until,até
137,wollen ,want,quer
138,einfach ,simple,simples
139,macht ,power,potência
140,gott ,God,Deus
141,nun ,well,Nós vamos
142,weil ,because,Porque
143,damit ,in order to,em ordem de
144,dieser ,this,isto
145,kannst ,can,posso
146,wurde ,became,passou a ser
147,gesagt ,said,disse
148,seine ,his,seu
149,wollte ,wanted to,queria
150,na ,n / A,n / D
151,zwei ,two,dois
152,hallo ,Hello,Olá
153,meinen ,say,dizer
154,sicher ,for sure,com certeza
155,sir ,sir,Senhor
156,morgen ,morning,manhã
157,ab ,away,longe
158,leid ,suffering,Sofrimento
159,lassen ,to let,permitir
160,hey ,hey,Ei
161,waren ,were,era
162,zur ,to the,ao
163,lass ,let,deixar
164,e ,e,e
165,geld ,money,dinheiro
